roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
106,7,1101,台泥,8034396,7858569,7816038,2.23,2.79,53928247,48482772,11.23
106,7,1102,亞泥,5252149,5331442,4788866,-1.48,9.67,34064298,33918526,0.42
106,7,1103,嘉泥,153905,143629,268801,7.15,-42.74,1212790,1630494,-25.61
106,7,1104,環泥,357742,318948,354764,12.16,0.83,2517506,2680230,-6.07
106,7,1108,幸福,270234,243699,336726,10.88,-19.74,2032226,2439829,-16.7
106,7,1109,信大,417078,418868,308834,-0.42,35.04,2734890,2315358,18.11
106,7,1110,東泥,113787,107913,113528,5.44,0.22,798302,901116,-11.4
106,7,1201,味全,1745969,1536126,1717480,13.66,1.65,9698698,9865094,-1.68
106,7,1203,味王,514755,501186,534572,2.7,-3.7,3539005,3656551,-3.21
106,7,1210,大成,6158273,5738622,6139235,7.31,0.31,42692456,42184199,1.2
106,7,1213,大飲,85642,46321,81158,84.88,5.52,380736,394052,-3.37
106,7,1215,卜蜂,1665365,1652528,1571108,0.77,5.99,11243896,10164809,10.61
106,7,1216,統一,35072216,34105063,34586149,2.83,1.4,231305559,246124088,-6.02
106,7,1217,愛之味,457971,341617,453952,34.05,0.88,2322067,2376386,-2.28
106,7,1218,泰山,680900,639677,778087,6.44,-12.49,4447709,4631930,-3.97
106,7,1219,福壽,822215,862947,890385,-4.72,-7.65,6175102,6246956,-1.15
106,7,1220,台榮,193446,220289,232390,-12.18,-16.75,1258920,1660695,-24.19
106,7,1225,福懋油,894039,882238,882722,1.33,1.28,6165607,6125158,0.66
106,7,1227,佳格,1834591,1911994,1821794,-4.04,0.7,13830598,14477794,-4.47
106,7,1229,聯華,401108,408114,449816,-1.71,-10.82,2757994,3091681,-10.79
106,7,1231,聯華食,653989,580384,614011,12.68,6.51,4046035,3817230,5.99
106,7,1232,大統益,1399147,1325815,1539831,5.53,-9.13,9848213,9711341,1.4
106,7,1233,天仁,169865,161165,163556,5.39,3.85,1241658,1245995,-0.34
106,7,1234,黑松,910702,840601,895908,8.33,1.65,5290280,4829910,9.53
106,7,1235,興泰,4710,5193,7384,-9.3,-36.21,29575,66457,-55.49
106,7,1236,宏亞,122414,109990,144478,11.29,-15.27,912254,1095636,-16.73
106,7,1702,南僑,1337197,1502484,1316773,-11.0,1.55,9356615,9178828,1.93
106,7,1737,臺鹽,224692,225324,232073,-0.28,-3.18,1574861,1590588,-0.98
106,7,1301,台塑,16975872,17948278,14818717,-5.41,14.55,117137387,102400119,14.39
106,7,1303,南亞,25272847,25234496,22723449,0.15,11.21,172054572,156436611,9.98
106,7,1304,台聚,4711283,4842862,4292289,-2.71,9.76,32571507,30335203,7.37
106,7,1305,華夏,1189222,1314431,1146141,-9.52,3.75,8503662,8439431,0.76
106,7,1307,三芳,770144,759817,784322,1.35,-1.8,5827567,6369184,-8.5
106,7,1308,亞聚,484002,582870,463211,-16.96,4.48,3580166,3081668,16.17
106,7,1309,台達化,1581711,1590054,1242076,-0.52,27.34,10718468,9093306,17.87
106,7,1310,台苯,1233931,1177040,1177722,4.83,4.77,8333188,7952084,4.79
106,7,1312,國喬,1903108,1956070,1647114,-2.7,15.54,12867535,10756682,19.62
106,7,1313,聯成,3968662,4074576,3620663,-2.59,9.61,27081748,22799557,18.78
